firstName,lastName,email_business,email_personal,phone_work,phone_mobile,company,title,city,state,category,contactType,notes
John,Smitsh,john.smith@acsastingdirectors.com,john.personal@agmail.com,310-555-1001,310-555-2001,ABC Casting,Casting Director,Los Angeles,CA,casting,industry,Met at NBC general audition
Sarah,Johnsson,sarah.j@ataslentmgmt.com,,310-555-1002,310-555-2002,Elite Talent Management,Agent,Beverly Hills,CA,agent,industry,Referred by Mike Thompson
Michael,Chesn,mchen@awasrnerproductions.com,mike.chen@ayahoo.com,818-555-1003,,Warner Bros Productions,Producer,Burbank,CA,producer,industry,Worked on Project Blue
Emily,Rodrisguez,emilsy.r@adirectorslab.com,emrod@ahotmail.com,323-555-1004,323-555-2004,Directors Lab,Director,Hollywood,CA,director,industry,Indie film collaboration
David,Willsiams,dwillisams@auniversalcast.com,,310-555-1005,310-555-2005,Universal Casting,Associate Casting Director,Universal City,CA,casting,industry,Assistant to Jane Miller
Amanda,Tayslor,amanda@atasyloragency.com,amanda.t.personal@agmail.com,212-555-1006,212-555-2006,Taylor Agency,Manager,New York,NY,manager,industry,Bi-coastal representation
Robert,Martsinez,rob.masrtinez@afoxstudios.com,,310-555-1007,310-555-2007,Fox Studios,Executive Producer,Century City,CA,producer,industry,Development deal pending
Jennifer,Lese,jlese@acastingnetwork.com,jenlee88@agmail.com,818-555-1008,818-555-2008,Casting Network Inc,Senior Casting Associate,Glendale,CA,casting,industry,Commercial casting specialist
Christopher,Brsown,chsris.brown@aindependentfilm.org,,323-555-1009,323-555-2009,Independent Film Collective,Director,Los Angeles,CA,director,industry,Award-winning shorts
Lisa,Garcsia,lgasrcia@aactorsvoice.com,lisa.g.home@aoutlook.com,310-555-1010,310-555-2010,Actors Voice Agency,Talent Agent,Santa Monica,CA,agent,industry,Voice-over specialist
